		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  238  239  242  238  228  243  238  252  1.976936 0.981711 SUCCESS   0
000000011  251  238  243  242  217  259  234  260  5.940342 0.653915 SUCCESS   1
000000101  224  259  247  221  259  234  254  251  6.939137 0.543213 SUCCESS   2
000000111  264  240  223  219  251  264  244  265 10.030847 0.262867 SUCCESS   3
000001001  225  261  244  260  248  247  239  219  6.708238 0.568414 SUCCESS   4
000001011  247  254  250  249  248  226  273  237  5.897975 0.658659 SUCCESS   5
000001101  248  235  247  241  215  252  247  251  4.584607 0.800910 SUCCESS   6
000001111  244  227  237  223  266  264  232  243  7.677377 0.465602 SUCCESS   7
000010001  257  242  245  254  245  239  261  241  2.500165 0.961723 SUCCESS   8
000010011  256  249  239  259  234  241  239  233  2.858164 0.942941 SUCCESS   9
000010101  250  236  253  215  243  228  256  234  6.492168 0.592276 SUCCESS  10
000010111  218  257  253  249  264  221  251  249  8.268392 0.407702 SUCCESS  11
000011001  263  261  221  218  240  259  252  251  9.345566 0.313988 SUCCESS  12
000011011  250  242  243  259  219  240  252  248  4.181064 0.840429 SUCCESS  13
000011101  223  222  258  251  228  262  250  236  7.861672 0.447098 SUCCESS  14
000011111  236  255  231  249  249  248  236  261  3.261707 0.916877 SUCCESS  15
000100011  252  253  254  243  255  234  255  227  3.693847 0.883636 SUCCESS  16
000100101  222  233  245  262  244  243  253  242  4.313460 0.827793 SUCCESS  17
000100111  247  270  252  265  193  246  271  244 19.129098 0.014184 SUCCESS  18
000101001  246  256  227  254  235  235  241  234  3.449180 0.903098 SUCCESS  19
000101011  240  224  250  213  258  256  236  233  8.255682 0.408901 SUCCESS  20
000101101  231  247  233  241  263  250  259  229  4.892825 0.768967 SUCCESS  21
000101111  228  234  248  226  249  237  249  241  3.449180 0.903098 SUCCESS  22
000110011  256  245  228  226  233  262  254  254  5.798413 0.669801 SUCCESS  23
000110101  272  273  247  253  244  242  213  262 12.670293 0.123709 SUCCESS  24
000110111  233  250  223  259  254  253  250  231  5.121605 0.744503 SUCCESS  25
000111001  249  252  249  236  261  279  241  233  7.668904 0.466462 SUCCESS  26
000111011  222  249  240  256  236  248  244  238  3.346440 0.910775 SUCCESS  27
000111101  255  221  239  263  246  248  244  267  6.682818 0.571208 SUCCESS  28
000111111  248  275  208  239  229  239  224  251 12.739139 0.121146 SUCCESS  29
001000011  273  256  246  237  245  231  261  261  7.505792 0.483169 SUCCESS  30
001000101  250  227  254  247  236  244  255  263  4.127047 0.845483 SUCCESS  31
001000111  253  251  244  243  253  214  260  245  5.788881 0.670867 SUCCESS  32
001001011  222  217  251  262  270  222  249  216 15.107438 0.057090 SUCCESS  33
001001101  241  252  249  233  252  254  238  243  1.769340 0.987285 SUCCESS  34
001001111  226  277  254  252  224  257  272  254 12.769855 0.120017 SUCCESS  35
001010011  251  241  249  239  244  231  260  229  3.220399 0.919774 SUCCESS  36
001010101  259  235  248  256  245  233  252  240  2.813679 0.945500 SUCCESS  37
001010111  240  244  251  225  239  272  222  234  7.733513 0.459925 SUCCESS  38
001011011  248  241  259  230  258  248  222  242  4.859991 0.772430 SUCCESS  39
001011101  233  255  247  272  248  221  218  272 12.865180 0.116573 SUCCESS  40
001011111  235  237  262  254  246  239  241  238  2.661159 0.953792 SUCCESS  41
001100101  242  226  263  236  240  267  208  254 11.431067 0.178450 SUCCESS  42
001100111  234  239  215  229  240  255  241  261  6.929605 0.544247 SUCCESS  43
001101011  247  258  242  252  240  227  248  250  2.656922 0.954012 SUCCESS  44
001101101  258  225  246  246  235  250  239  224  4.721240 0.786912 SUCCESS  45
001101111  239  233  236  249  241  243  255  259  2.501224 0.961674 SUCCESS  46
001110101  240  238  259  228  250  256  236  226  4.685228 0.790628 SUCCESS  47
001110111  251  229  260  258  248  251  244  255  3.817770 0.873179 SUCCESS  48
001111011  284  247  227  254  250  241  236  264 10.567845 0.227408 SUCCESS  49
001111101  246  252  249  243  249  217  260  244  4.669341 0.792262 SUCCESS  50
001111111  262  256  230  242  226  253  242  230  5.405462 0.713490 SUCCESS  51
010000011  239  240  237  210  235  284  253  260 13.822668 0.086506 SUCCESS  52
010000111  232  249  246  253  243  242  245  255  1.600932 0.990902 SUCCESS  53
010001011  238  240  240  233  250  258  212  247  6.196660 0.625213 SUCCESS  54
010001111  256  254  239  247  245  241  240  264  2.947134 0.937631 SUCCESS  55
010010011  222  214  271  241  243  263  258  270 14.187021 0.077019 SUCCESS  56
010010111  230  255  242  248  239  236  246  234  2.269267 0.971624 SUCCESS  57
010011011  268  237  241  235  246  250  253  254  3.932160 0.863192 SUCCESS  58
010011111  216  259  270  227  229  267  264  227 14.469819 0.070312 SUCCESS  59
010100011  236  232  251  255  246  248  235  244  2.035191 0.979914 SUCCESS  60
010100111  235  259  251  233  246  240  253  236  2.715176 0.950942 SUCCESS  61
010101011  257  246  236  261  240  238  262  246  3.802942 0.874451 SUCCESS  62
010101111  271  235  243  241  248  284  237  222 12.548489 0.128358 SUCCESS  63
010110011  222  250  228  221  262  239  243  244  7.057764 0.530413 SUCCESS  64
010110111  254  215  265  245  254  238  221  235  9.046881 0.338357 SUCCESS  65
010111011  239  249  267  257  244  251  217  238  6.607618 0.579497 SUCCESS  66
010111111  240  221  254  244  255  255  253  247  4.121751 0.845975 SUCCESS  67
011000111  240  269  241  262  249  236  227  225  7.261124 0.508739 SUCCESS  68
011001111  259  223  244  249  251  240  253  265  5.381101 0.716174 SUCCESS  69
011010111  272  231  242  240  235  237  258  250  5.642716 0.687182 SUCCESS  70
011011111  226  221  247  260  250  241  216  235  8.651811 0.372514 SUCCESS  71
011101111  270  255  253  263  245  242  232  258  6.641511 0.575757 SUCCESS  72
011111111  244  223  248  251  233  262  243  235  4.390780 0.820258 SUCCESS  73
100000000  238  239  242  238  228  243  238  252  1.976936 0.981711 SUCCESS  74
100010000  253  243  221  247  234  237  260  237  4.571897 0.802198 SUCCESS  75
100100000  259  249  249  247  257  226  260  265  6.181832 0.626872 SUCCESS  76
100101000  246  239  234  247  261  243  238  219  4.640743 0.795193 SUCCESS  77
100110000  250  266  249  242  246  249  259  259  4.283804 0.830653 SUCCESS  78
100111000  240  264  212  262  231  248  251  234  8.899656 0.350831 SUCCESS  79
101000000  245  245  220  222  246  240  244  246  4.648157 0.794434 SUCCESS  80
101000100  253  237  237  242  233  235  256  240  2.329639 0.969202 SUCCESS  81
101001000  286  255  237  260  221  219  246  234 14.602215 0.067358 SUCCESS  82
101001100  275  245  240  249  241  231  253  230  6.164885 0.628768 SUCCESS  83
101010000  251  243  229  237  239  271  262  253  6.248560 0.619411 SUCCESS  84
101010100  218  237  249  238  258  241  226  236  5.894798 0.659015 SUCCESS  85
101011000  226  253  214  244  233  238  242  247  6.307873 0.612788 SUCCESS  86
101011100  239  258  257  240  245  219  224  254  6.508056 0.590514 SUCCESS  87
101100000  236  241  248  229  229  250  232  230  3.937456 0.862722 SUCCESS  88
101100100  265  266  228  253  234  250  250  274  9.816896 0.278113 SUCCESS  89
101101000  233  273  222  249  240  249  232  265  8.873177 0.353107 SUCCESS  90
101101100  258  228  256  225  247  251  243  231  5.034754 0.753855 SUCCESS  91
101110000  213  254  247  243  274  215  242  256 12.549548 0.128317 SUCCESS  92
101110100  246  239  244  240  234  246  245  249  0.751479 0.999384 SUCCESS  93
101111000  268  230  225  255  231  237  230  236  7.380810 0.496158 SUCCESS  94
101111100  241  214  263  232  257  253  215  239 10.759555 0.215699 SUCCESS  95
110000000  217  252  265  236  232  260  231  240  7.998305 0.433636 SUCCESS  96
110000010  253  242  214  251  214  241  253  243  8.623214 0.375071 SUCCESS  97
110000100  246  214  265  256  262  244  249  225  9.307436 0.317029 SUCCESS  98
110001000  245  243  252  243  238  246  254  246  0.878580 0.998905 SUCCESS  99
110001010  241  229  250  225  245  269  239  231  6.172300 0.627939 SUCCESS 100
