		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4858 4882 4818 4041 3582 3372 3093 2896 483861.097627 0.000000 FAILURE   0
000000011 1842 1907 2557 1302 2933 2219 1041 1600 107570.911675 0.000000 FAILURE   1
000000101 1282 1357  858 1842 1193  592 1486 2158 48604.247729 0.000000 FAILURE   2
000000111  810  915 1409  487 1210 1584  581  493 21563.861112 0.000000 FAILURE   3
000001001  730  803  542 1073  215  892 1364  787 13953.909762 0.000000 FAILURE   4
000001011  585  642  421  855  820  113  754  941 7513.254107 0.000000 FAILURE   5
000001101  401  478  693  277  981  434   12  542 4251.607619 0.000000 FAILURE   6
000001111  405  558  848  333  692  943  546  195 5420.913906 0.000000 FAILURE   7
000010001  322  412  408  430  281  503  569  350 1189.573990 0.000000 FAILURE   8
000010011  343  401  286  529  147  472  693  398 1710.851835 0.000000 FAILURE   9
000010101  272  363  243  493  216  287  313  687 1187.791411 0.000000 FAILURE  10
000010111  279  338  325  390  576  110  321  503 1012.164463 0.000000 FAILURE  11
000011001  187  277  279  287  360  211  246  342 133.480018 0.000000 FAILURE  12
000011011  176  250  375  144  568  234   40  276 760.522111 0.000000 FAILURE  13
000011101  140  223  320  138  272  383  148  140 290.013349 0.000000 FAILURE  14
000011111  368  563  684  437  610  759  510  395 3559.356809 0.000000 FAILURE  15
000100011  143  217  200  253  215  185  371  211 146.276882 0.000000 FAILURE  16
000100101  113  207  142  283   17  294  354  212 413.883009 0.000000 FAILURE  17
000100111  173  222  212  297  213  217  375  289 128.043310 0.000000 FAILURE  18
000101001   89  181  116  258  117  143  161  356 383.291069 0.000000 FAILURE  19
000101011  117  192  144  257  183  154  179  367 255.330904 0.000000 FAILURE  20
000101101   71  155   93  238  204   11  230  245 495.475991 0.000000 FAILURE  21
000101111  185  284  324  285  479  157  286  358 383.904327 0.000000 FAILURE  22
000110011   95  129  161  156  255  111  130  215 346.903364 0.000000 FAILURE  23
000110101   66   80  174   77  262  100   22  145 727.735575 0.000000 FAILURE  24
000110111  133  119  269  116  388  161   66  235 442.568447 0.000000 FAILURE  25
000111001   66   80  173   77  175  188   22  146 671.729966 0.000000 FAILURE  26
000111011   86   74  165   79  218  183  139   32 626.773594 0.000000 FAILURE  27
000111101   51   64  156   61  157  171  121   13 815.811723 0.000000 FAILURE  28
000111111  687  775  881  764  861  894  782  774 10705.201007 0.000000 FAILURE  29
001000011   77   75  137  108  151  172  224   24 632.425313 0.000000 FAILURE  30
001000101   51   64  112  105   84  159  109  114 739.860927 0.000000 FAILURE  31
001000111  117  101  166  185  215  124  239  203 267.929703 0.000000 FAILURE  32
001001011   77   74   87  158   84  152  210  124 587.628875 0.000000 FAILURE  33
001001101   51   63   71  147   17  141  194  113 811.050764 0.000000 FAILURE  34
001001111  176  185  257  279  272  186  331  294 100.447755 0.000000 FAILURE  35
001010011   66   62   74  145  118   93  113  196 686.011783 0.000000 FAILURE  36
001010101   38   51   58  134   50   83   97  185 912.333673 0.000000 FAILURE  37
001010111  105   90  154  172  183  133  143  268 352.982986 0.000000 FAILURE  38
001011011   55   50   63  135  161   28  116  172 819.393828 0.000000 FAILURE  39
001011101   27   39   47  120   98   16   88  117 1090.578883 0.000000 FAILURE  40
001011111  316  395  387  436  528  317  395  478 1052.876750 0.000000 FAILURE  41
001100101   28   40   46   80   87   66   87   89 1100.417492 0.000000 FAILURE  42
001100111   94   80  139  123  220  106  103  207 492.098306 0.000000 FAILURE  43
001101011   54   52   64   55  190   67   50   89 1005.463109 0.000000 FAILURE  44
001101101   28   41   47   44  124   67   22   79 1225.614288 0.000000 FAILURE  45
001101111  160  183  236  188  353  164  182  262 154.562750 0.000000 FAILURE  46
001110101   28   40   44   47   42  123   36  109 1204.849306 0.000000 FAILURE  47
001110111   85   93   99  122  168  141  108  137 553.185801 0.000000 FAILURE  48
001111011   39   52   56   87   98  102   71   79 1007.726551 0.000000 FAILURE  49
001111101   11   40   39   36   70  103   61   50 1283.124975 0.000000 FAILURE  50
001111111 1413 1479 1436 1515 1522 1503 1499 1498 52075.117963 0.000000 FAILURE  51
010000011   39   52   55   87   60  142   72   79 1019.637950 0.000000 FAILURE  52
010000111   75  120   60  146  129  136  143  145 561.518273 0.000000 FAILURE  53
010001011   39   51   32  109   62   96   66  129 1028.333717 0.000000 FAILURE  54
010001111  183  184  168  243  215  158  238  299 103.637968 0.000000 FAILURE  55
010010011   39   51   33  108   52   63  108  127 1035.628205 0.000000 FAILURE  56
010010111   76  118   60  148   95  126  140  190 581.605388 0.000000 FAILURE  57
010011011   39   50   32  108   28   86  108  127 1047.515244 0.000000 FAILURE  58
010011111  352  371  331  428  386  328  475  427 775.317624 0.000000 FAILURE  59
