		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  239  251  236  253  245  255  252  257  2.394249 0.966480 SUCCESS   0
000000011  265  230  249  244  245  247  236  253  3.443884 0.903501 SUCCESS   1
000000101  260  246  249  250  244  247  235  256  2.314811 0.969808 SUCCESS   2
000000111  261  247  259  260  232  257  242  246  4.605791 0.798758 SUCCESS   3
000001001  253  241  242  239  247  237  260  238  1.982232 0.981552 SUCCESS   4
000001011  250  258  254  277  268  229  233  235 10.215143 0.250249 SUCCESS   5
000001101  238  253  253  261  232  256  258  260  5.136434 0.742899 SUCCESS   6
000001111  239  234  241  232  254  268  256  232  5.258238 0.729652 SUCCESS   7
000010001  225  261  227  233  260  235  257  244  6.645748 0.575290 SUCCESS   8
000010011  265  242  241  248  239  247  254  240  2.601845 0.956812 SUCCESS   9
000010101  258  229  244  252  235  248  251  235  3.017039 0.933284 SUCCESS  10
000010111  250  262  231  260  243  252  227  254  5.221167 0.733697 SUCCESS  11
000011001  233  233  274  245  240  270  234  242  8.195310 0.414628 SUCCESS  12
000011011  236  243  229  223  250  238  231  267  6.396843 0.602871 SUCCESS  13
000011101  268  214  238  291  233  250  233  245 16.926029 0.030889 SUCCESS  14
000011111  252  235  240  252  235  232  265  228  4.873760 0.770980 SUCCESS  15
000100011  238  243  236  246  257  232  261  255  3.491546 0.899845 SUCCESS  16
000100101  271  235  232  221  255  237  237  232  7.855317 0.447729 SUCCESS  17
000100111  246  250  263  228  243  246  250  232  3.561451 0.894368 SUCCESS  18
000101001  233  265  241  245  243  269  238  240  5.273066 0.728031 SUCCESS  19
000101011  240  231  238  258  235  253  255  268  5.378983 0.716408 SUCCESS  20
000101101  235  236  235  250  270  222  263  232  8.174127 0.416649 SUCCESS  21
000101111  245  254  240  273  255  258  232  260  7.028107 0.533603 SUCCESS  22
000110011  251  262  281  239  262  244  266  246 10.822046 0.211988 SUCCESS  23
000110101  241  235  252  284  208  258  241  265 15.625371 0.048067 SUCCESS  24
000110111  240  242  239  250  226  223  229  257  5.302723 0.724785 SUCCESS  25
000111001  237  248  253  246  258  248  248  234  2.004475 0.980874 SUCCESS  26
000111011  258  231  250  266  231  255  228  246  6.066383 0.639796 SUCCESS  27
000111101  241  246  248  215  241  265  225  245  7.154148 0.520096 SUCCESS  28
000111111  236  277  232  216  225  233  267  240 13.195641 0.105293 SUCCESS  29
