		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 3871 3905 3569 3426 3081 2713 2694 2707 313285.676667 0.000000 FAILURE   0
000000011 1723 1694 1360 2078 1763  922 1277 2450 74551.399600 0.000000 FAILURE   1
000000101 1014 1052  908 1194  424 1548 1696  606 27791.295722 0.000000 FAILURE   2
000000111  883  777 1019  566 1190  818  111 1125 14463.260320 0.000000 FAILURE   3
000001001  509  578  798  362  457 1179  379  371 6168.164116 0.000000 FAILURE   4
000001011  555  477  395  633  413  488 1209    0 5945.894602 0.000000 FAILURE   5
000001101  396  478  216  740  284  176  470 1048 4354.925189 0.000000 FAILURE   6
000001111  697  486  697  328  915  588  193  551 4833.360762 0.000000 FAILURE   7
000010001  157  352  399  181  569  270  388    0 990.148604 0.000000 FAILURE   8
000010011  280  350  421  207  247  648   52  362 1097.676366 0.000000 FAILURE   9
000010101  158  346  182  360   60  389  458  244 574.983472 0.000000 FAILURE  10
000010111  356  355  238  382  287  293  714   23 1346.253487 0.000000 FAILURE  11
000011001  114  305   90  400  198   23  281  544 893.930635 0.000000 FAILURE  12
000011011  213  294  148  367  135  199  254  493 439.662091 0.000000 FAILURE  13
000011101   43  235  229  122  294  203   26  244 455.167247 0.000000 FAILURE  14
000011111  714  560  805  372  946  621  445  494 5884.497829 0.000000 FAILURE  15
000100011   42  238  283  124  266  223  233   16 465.707025 0.000000 FAILURE  16
000100101   44  114  261   98  131  300  198   25 612.971580 0.000000 FAILURE  17
000100111  165  284  339  152  174  419  111  221 335.098940 0.000000 FAILURE  18
000101001   43  114  215  145    0  349  108  203 673.100529 0.000000 FAILURE  19
000101011   43  230  151  243   53  176  331  112 489.328582 0.000000 FAILURE  20
000101101   45   70  167  146   91  154  304   49 672.680039 0.000000 FAILURE  21
000101111  357  335  265  367  377  285  519  156 589.667773 0.000000 FAILURE  22
000110011   44  191   68  329   91   55  174  326 643.688502 0.000000 FAILURE  23
000110101   43   69   45  268   91   32  147  327 830.754460 0.000000 FAILURE  24
000110111  148  257  126  296  141  168  192  289 200.016931 0.000000 FAILURE  25
000111001    9   35  115  138  130  123   26  203 863.935006 0.000000 FAILURE  26
000111011    9  156  137  189  139  145   53  171 594.478512 0.000000 FAILURE  27
000111101    9   35  115  131  139  121   26  172 879.020731 0.000000 FAILURE  28
000111111 1030  981 1185  848 1285 1047  874  923 21166.990983 0.000000 FAILURE  29
001000011    9   35  240   87  260   80  116   54 862.056043 0.000000 FAILURE  30
001000101    9   34   69   54  191  128   90   57 1022.436271 0.000000 FAILURE  31
001000111    9  240  263  112  237  211  175   81 447.604790 0.000000 FAILURE  32
001001011    9   34  241   86  122  220  107   67 805.486956 0.000000 FAILURE  33
001001101    9   35   69   53  121  197    0  147 1070.290526 0.000000 FAILURE  34
001001111  212  287  367  194  362  421  167  254 303.795239 0.000000 FAILURE  35
001010011    9   34  205  123    0  271   96  155 872.084242 0.000000 FAILURE  36
001010101    9   35   20  103   17  218   83  148 1087.277457 0.000000 FAILURE  37
001010111    8  240  194  161  125  202  226  114 416.975779 0.000000 FAILURE  38
001011011    9   35  172  110   68  181  165   90 793.226031 0.000000 FAILURE  39
001011101    8   35    0   77   68  157  146   50 1156.356373 0.000000 FAILURE  40
001011111  487  488  549  469  656  476  652  341 2801.009699 0.000000 FAILURE  41
001100101    9   35    0   78   68   34  166  153 1168.437240 0.000000 FAILURE  42
001100111    9  238   72  292  118   81  257  202 557.960529 0.000000 FAILURE  43
001101011    9   35   49  232   69   57  196  180 886.948601 0.000000 FAILURE  44
001101101    4   39    0   77   23   81  172  147 1175.275226 0.000000 FAILURE  45
001101111  205  313  162  339  338  232  298  258 144.364025 0.000000 FAILURE  46
001110101    0    9   35    8   92   80   51  131 1332.613525 0.000000 FAILURE  47
001110111    0  213  107  222  142  126  136  186 505.481948 0.000000 FAILURE  48
001111011    0    9   83  163   92  103   75  164 955.389898 0.000000 FAILURE  49
001111101    0    9   35    8   93   81   51  129 1331.876345 0.000000 FAILURE  50
001111111 1893 1903 2124 1793 1962 1809 1624 1606 87115.633178 0.000000 FAILURE  51
010000011    0    9   84   41  214   84   95   41 1151.637781 0.000000 FAILURE  52
010000111    0   92  254   75  263  139  120   64 723.197042 0.000000 FAILURE  53
010001011    0    9   84   42  205   93   95   41 1140.693402 0.000000 FAILURE  54
010001111   82  296  359  124  329  411  202  147 435.786597 0.000000 FAILURE  55
010010011    0    9   84   41  171  126   95   41 1120.935688 0.000000 FAILURE  56
010010111    0   92  255   74  220  175  120   74 684.263097 0.000000 FAILURE  57
010011011    0    9   92   33  170  135   42   86 1126.350153 0.000000 FAILURE  58
010011111  391  435  705  276  584  693  421  359 2681.440260 0.000000 FAILURE  59
010100011    0    9  125    0   49  290    9   86 1309.699492 0.000000 FAILURE  60
010100111   22   77  268   59   91  311   70  121 785.946372 0.000000 FAILURE  61
010101011    0   32   70   55   43  225   57  112 1118.360851 0.000000 FAILURE  62
010101111  105  319  321  203  159  464  203  240 380.718351 0.000000 FAILURE  63
010110011    0   32   67   58   49  198   78   87 1114.654823 0.000000 FAILURE  64
010110111   23   92  240  113   76  255  127  146 597.286366 0.000000 FAILURE  65
010111011    0   32   67   58   49  198   85   80 1114.536197 0.000000 FAILURE  66
010111111  887  997 1048  943  935 1105 1057  898 18732.365919 0.000000 FAILURE  67
011000111   23   92  116  236   75  131  222  173 573.938074 0.000000 FAILURE  68
011001111  105  317  199  345  149  334  303  280 248.938827 0.000000 FAILURE  69
011010111   36  102   93  261   65  115  242  178 592.181178 0.000000 FAILURE  70
011011111  442  501  459  540  535  442  596  481 2298.568092 0.000000 FAILURE  71
011101111  131  309  183  336  240  254  206  336 166.045187 0.000000 FAILURE  72
011111111 3864 3907 3507 3418 3301 3165 2621 2224 316417.528511 0.000000 FAILURE  73
100000000 3872 3905 3570 3426 3080 2713 2694 2707 313320.556118 0.000000 FAILURE  74
100010000  213  238  209  292  223  255  289  254 30.537393 0.000170 FAILURE  75
100100000  440  498  468  508  470  544  480  607 2333.682678 0.000000 FAILURE  76
100101000   76  138   91  139  105  176  121  212 483.893993 0.000000 FAILURE  77
100110000  215  225  219  289  220  292  230  326 57.771771 0.000000 FAILURE  78
100111000   76  136   93  141  129  155  144  195 453.602856 0.000000 FAILURE  79
101000000  929  951  966  994  969 1025  983 1024 18393.475688 0.000000 FAILURE  80
101000100   24   51   42  104   40  111   92   97 1060.942312 0.000000 FAILURE  81
101001000   77  140   94  140  147  135  141  192 452.669730 0.000000 FAILURE  82
101001100   26   52   47  101   67   81   95   97 1040.952641 0.000000 FAILURE  83
101010000  214  223  231  276  247  325  210  287 51.237766 0.000000 FAILURE  84
101010100   25   50   49  104   67  125   43   96 1064.952321 0.000000 FAILURE  85
101011000   77  133   75  185  139  149  112  238 465.919917 0.000000 FAILURE  86
101011100   24   51   32   92   95   94   73   97 1057.458710 0.000000 FAILURE  87
101100000  414  485  465  522  545  509  486  543 2208.969920 0.000000 FAILURE  88
101100100   25   50   34   92   98   93   79   99 1040.160383 0.000000 FAILURE  89
101101000   72   96  111  142  138  178  130  166 485.026243 0.000000 FAILURE  90
101101100   25   51   33  118  105   55  124  101 999.147292 0.000000 FAILURE  91
101110000  160  225  249  271  315  237  299  259 69.885472 0.000000 FAILURE  92
101110100   24   43   42  109  144   25  122   95 1030.413922 0.000000 FAILURE  93
101111000   68   94  122  160  190  115  182  137 468.097566 0.000000 FAILURE  94
101111100   25   41   41  109  145   25  134   87 1031.423309 0.000000 FAILURE  95
110000000 1789 1940 2000 1938 1959 1754 1762 1668 87982.193331 0.000000 FAILURE  96
110000010    8   17   48   52   83   54   98   22 1336.748516 0.000000 FAILURE  97
110000100   26   42   65   86  146   71  120   51 1007.596273 0.000000 FAILURE  98
110001000   75   99  129  161  163  158  171  138 425.516907 0.000000 FAILURE  99
110001010   17   25   31  108   25   54   87  139 1200.912380 0.000000 FAILURE 100
110010000  154  230  311  260  278  339  203  380 183.652791 0.000000 FAILURE 101
110010010   16   24   57   92   17  107   18  183 1202.840065 0.000000 FAILURE 102
110010100   33   50   74  110   96  122   51  184 876.813426 0.000000 FAILURE 103
110011000   75   85  169  160  183  174  158  167 375.641760 0.000000 FAILURE 104
110011010   17   25   58   92   63   60  148   35 1173.844291 0.000000 FAILURE 105
110100000  363  459  581  477  570  555  559  466 2454.009422 0.000000 FAILURE 106
110100010   16   25   57   92   89   34  149   34 1184.709233 0.000000 FAILURE 107
110100100   35   52   75  109  194   25  182   52 927.013737 0.000000 FAILURE 108
110101000   74   84  236   92  238  255   96   95 517.406058 0.000000 FAILURE 109
110101010   16   47   99   56   93  132   17   60 1136.487447 0.000000 FAILURE 110
110101100   34   74  117   89  157  148   51  144 751.893072 0.000000 FAILURE 111
110110000  159  256  352  224  327  383  196  314 223.621542 0.000000 FAILURE 112
110110010   16   48  100   72   79  133   18  127 1039.555598 0.000000 FAILURE 113
110110100   28   78  117   88  110  195   51  144 773.482086 0.000000 FAILURE 114
110111000   67  136  194  193  233  157  185  199 260.288868 0.000000 FAILURE 115
110111010   16   66   83  115  165    0  108  122 956.243587 0.000000 FAILURE 116
110111100   26   99  101  132  202   64  143  138 666.872623 0.000000 FAILURE 117
