		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 4841 4566 3608 3166 3004 2459 1578 1590 321038.193045 0.000000 FAILURE   0
000000011 1881 1877 2675 1131 2907 1824  210  920 93572.045011 0.000000 FAILURE   1
000000101 1372 1428  652 2205  710  625 1712 2109 53719.187688 0.000000 FAILURE   2
000000111  868  901 1638  171 1358 1938   30  358 29392.693699 0.000000 FAILURE   3
000001001  757  801  568 1033   75 1130 1624  446 17194.763729 0.000000 FAILURE   4
000001011  612  635  414  909  721  115 1019  826 8228.141449 0.000000 FAILURE   5
000001101  475  503  592  416 1075  187    5  820 5733.515595 0.000000 FAILURE   6
000001111  526  541 1037   95  746 1305  106  184 9399.075677 0.000000 FAILURE   7
000010001  360  402  439  369  290  640  751    0 2403.303887 0.000000 FAILURE   8
000010011  392  408  324  540   33  651  623  451 2284.025719 0.000000 FAILURE   9
000010101  353  406  125  681   24  263  364 1031 3920.875098 0.000000 FAILURE  10
000010111  337  374  289  463  469  151  498  461 1042.821012 0.000000 FAILURE  11
000011001  228  275  268  281  538   41  150  436 747.521887 0.000000 FAILURE  12
000011011  236  240  364  165  569  214   38  274 722.543535 0.000000 FAILURE  13
000011101  167  209  397   15  413  431   27   24 1025.657200 0.000000 FAILURE  14
000011111  499  536  812  294  647  946  320  356 4865.102958 0.000000 FAILURE  15
000100011  195  208  250  220  157  367  432    5 506.289034 0.000000 FAILURE  16
000100101  160  204  150  258   13  331  544    0 966.923175 0.000000 FAILURE  17
000100111  232  268  221  320   84  417  238  418 393.182636 0.000000 FAILURE  18
000101001  160  204   78  331   14  187  297  392 528.377976 0.000000 FAILURE  19
000101011  187  212   90  378   23  164  251  519 749.433684 0.000000 FAILURE  20
000101101  113  161   98  221  189   53  306  164 405.902181 0.000000 FAILURE  21
000101111  278  294  298  337  379  235  314  395 258.791205 0.000000 FAILURE  22
000110011  127  145  173  168  283   78   59  285 421.331076 0.000000 FAILURE  23
000110101   98  139  139  140  272   51   27  271 594.137460 0.000000 FAILURE  24
000110111  146  186  244  133  292  260   87  187 236.623884 0.000000 FAILURE  25
000111001   78  120  176   67  169  227   27  135 610.111827 0.000000 FAILURE  26
000111011   92  110  240   27  217  281   59    5 770.393553 0.000000 FAILURE  27
000111101   60  105  204    5  154  299   37    0 956.132375 0.000000 FAILURE  28
000111111  766  801  951  686  897 1009  743  673 11530.008770 0.000000 FAILURE  29
001000011   93  110  147  121  149  164  248    5 585.024382 0.000000 FAILURE  30
001000101   60  105  116   93  103  173  212    0 754.621488 0.000000 FAILURE  31
001000111  132  169  170  174  163  227  325   43 349.501502 0.000000 FAILURE  32
001001011   91  109  107  162   37  193  330    5 751.261808 0.000000 FAILURE  33
001001101   60  104   75  136   26  167  201   94 727.670966 0.000000 FAILURE  34
001001111  230  244  242  294  193  328  284  316 80.905053 0.000000 FAILURE  35
001010011   92  109   71  197   37  122  185  221 573.813092 0.000000 FAILURE  36
001010101   59  105   40  170   27   94  111  259 798.243308 0.000000 FAILURE  37
001010111  127  173   89  255   97  111  248  298 361.153406 0.000000 FAILURE  38
001011011   69   89   81  142  126   57  208   87 706.398642 0.000000 FAILURE  39
001011101   37   83   49  116  115   27  178   82 922.854386 0.000000 FAILURE  40
001011111  386  403  411  424  497  360  467  419 1115.089082 0.000000 FAILURE  41
001100101   27   72   69   74  156   28   95   83 1012.806319 0.000000 FAILURE  42
001100111   96  137  141  155  212   90  128  187 396.254222 0.000000 FAILURE  43
001101011   63   77  101  104  167   54   47  182 786.624239 0.000000 FAILURE  44
001101101   21   61   87   38  193   28   15   90 1169.625626 0.000000 FAILURE  45
001101111  185  224  229  225  248  278  193  240 35.116175 0.000025 FAILURE  46
001110101   10   57  105    5  138  117   10   27 1252.986359 0.000000 FAILURE  47
001110111   79  120  172   92  157  207  101   92 523.708106 0.000000 FAILURE  48
001111011   44   59  132   37  106  178   48   54 965.357725 0.000000 FAILURE  49
001111101   11   54  102   10   98  152   16   27 1247.837745 0.000000 FAILURE  50
001111111 1469 1481 1558 1450 1567 1573 1490 1415 53592.360832 0.000000 FAILURE  51
010000011   42   60  130   37  128  158   49   54 956.664077 0.000000 FAILURE  52
010000111   81  119  125  141  131  139  197   91 494.030227 0.000000 FAILURE  53
010001011   42   61   87   81   93   96  143   55 917.076626 0.000000 FAILURE  54
010001111  179  215  184  255  226  188  343  166 119.394147 0.000000 FAILURE  55
010010011   42   61   67  103   59   89  184   54 948.066813 0.000000 FAILURE  56
010010111   96  112   95  161   96  125  247   90 544.160634 0.000000 FAILURE  57
010011011   42   81   46  126   37   88  117  145 906.366322 0.000000 FAILURE  58
010011111  393  389  331  470  364  394  432  461 935.811184 0.000000 FAILURE  59
010100011   42   81   26  142   37   51  125  174 952.313016 0.000000 FAILURE  60
010100111  101  120   66  200   74   90  143  250 561.465315 0.000000 FAILURE  61
010101011   42   82   28  142   37   52   83  217 977.774348 0.000000 FAILURE  62
010101111  195  220  124  314  171  129  292  326 211.428404 0.000000 FAILURE  63
010110011   22   81   32  116   81   19  116  128 1036.096357 0.000000 FAILURE  64
010110111   79  119   69  174  120   57  174  166 592.933187 0.000000 FAILURE  65
010111011   20   82   32  115   82   10  125  129 1045.315352 0.000000 FAILURE  66
010111111  744  744  706  782  811  656  804  791 8922.041383 0.000000 FAILURE  67
011000111   74   90  103  130  162   48  170  115 648.274698 0.000000 FAILURE  68
011001111  150  210  178  243  245  122  254  228 125.704668 0.000000 FAILURE  69
011010111   77   93  101  132  160   47  114  212 625.866946 0.000000 FAILURE  70
011011111  342  395  331  429  404  361  394  441 739.345112 0.000000 FAILURE  71
011101111  148  193  193  216  180  212  227  232 88.304398 0.000000 FAILURE  72
011111111 2913 2930 2952 2930 2964 2826 2348 1960 213179.294209 0.000000 FAILURE  73
100000000 4841 4566 3607 3166 3003 2459 1578 1590 320986.312894 0.000000 FAILURE  74
100010000  256  294  347  301  306  368  299  356 216.694585 0.000000 FAILURE  75
100100000  575  602  653  587  628  693  614  591 4780.122757 0.000000 FAILURE  76
100101000  101  162  176  123  184  219  163  150 280.588876 0.000000 FAILURE  77
100110000  256  319  334  275  324  378  328  296 206.777598 0.000000 FAILURE  78
100111000   99  162  175  128  226  168  105  205 309.612188 0.000000 FAILURE  79
101000000 1211 1236 1244 1204 1298 1137 1085 1101 30457.244066 0.000000 FAILURE  80
101000100   17   89   97   70  159   45   66  136 923.303473 0.000000 FAILURE  81
101001000  101  156  172  151  240  126  122  222 302.920367 0.000000 FAILURE  82
101001100   17   87   91   81  152   42   65  137 928.822795 0.000000 FAILURE  83
101010000  248  321  330  320  362  282  274  432 299.002506 0.000000 FAILURE  84
101010100   17   88   91   89  145   42   45  196 915.624507 0.000000 FAILURE  85
101011000  130  123  174  173  220  126  101  287 315.761716 0.000000 FAILURE  86
101011100   19  126   54   95  140   43   46  196 914.626771 0.000000 FAILURE  87
101100000  629  596  582  684  653  521  611  760 5186.350632 0.000000 FAILURE  88
101100100   44   80   66  114  128   26  106  148 868.645125 0.000000 FAILURE  89
101101000  146  152  122  225  176  108  161  261 270.135950 0.000000 FAILURE  90
101101100   43  105   39  141  101   27  105  200 853.472548 0.000000 FAILURE  91
101110000  295  355  242  379  311  265  334  435 349.508916 0.000000 FAILURE  92
101110100   43  105   36  145  101   20  158  151 846.297746 0.000000 FAILURE  93
101111000  145  154  113  281  106  123  210  287 310.354665 0.000000 FAILURE  94
101111100   43  106   53  128   79   83  152  157 757.723790 0.000000 FAILURE  95
110000000 2440 2467 2317 2264 1944 1637 1664 1641 114122.040637 0.000000 FAILURE  96
110000010    0   43   27  100   46  194  377  275 967.395564 0.000000 FAILURE  97
110000100   44  101   58  119   89   83  152  135 767.912983 0.000000 FAILURE  98
110001000  144  149  188  181  134  214  151  236 203.283404 0.000000 FAILURE  99
110001010    0   44   75   52   46   92   87   31 1261.122885 0.000000 FAILURE 100
110010000  320  306  356  292  329  378  304  327 254.086382 0.000000 FAILURE 101
110010010    0   43  101   25   91  100   34   32 1279.125558 0.000000 FAILURE 102
110010100   43  100  133   43  133  140   54  115 805.115188 0.000000 FAILURE 103
110011000  144  172  193  146  191  223  127  188 201.691475 0.000000 FAILURE 104
110011010    0   44  101   26  103   87   17   49 1279.365989 0.000000 FAILURE 105
110100000  667  620  635  623  692  606  599  619 5145.215737 0.000000 FAILURE 106
110100010    0   43  102   25  191    0   18   70 1322.412682 0.000000 FAILURE 107
110100100   43   94  138   61  215   39   34  147 865.536468 0.000000 FAILURE 108
110101000  134  197  175  204  231  122  124  298 225.203939 0.000000 FAILURE 109
110101010    0   65   79   61  155    0   17  154 1185.133959 0.000000 FAILURE 110
110101100   74   83  120  106  174   39   35  236 763.373390 0.000000 FAILURE 111
110110000  365  346  270  395  373  222  306  515 604.666646 0.000000 FAILURE 112
110110010   26   79   41  100  116    0  106  145 1024.401027 0.000000 FAILURE 113
110110100  112  112   54  196   83   40  122  301 674.287856 0.000000 FAILURE 114
110111000  200  196  110  297  138  122  214  388 308.568908 0.000000 FAILURE 115
110111010   26  104   16  152   60    2  201  152 977.039286 0.000000 FAILURE 116
110111100  109  114   75  173   55   86  200  235 557.780471 0.000000 FAILURE 117
111000000 1246 1289 1190 1342 1159 1257 1249 1155 33460.824349 0.000000 FAILURE 118
111000010   26  105   58  109   37  115  217   47 927.846243 0.000000 FAILURE 119
111000100  109  113  145  103   53  250  138  130 534.010630 0.000000 FAILURE 120
111000110   25  104  121   45   38  212  121   48 930.396719 0.000000 FAILURE 121
111001000  202  197  255  152  198  351  156  160 173.675431 0.000000 FAILURE 122
111001010   26  104  159    9  125  228   19   48 988.587391 0.000000 FAILURE 123
111001100  108  115  198   52  142  266   78   86 583.609334 0.000000 FAILURE 124
111010000  389  355  390  305  523  335  329  287 649.646320 0.000000 FAILURE 125
111010010   43   90  155    0  333   27   17   31 1202.350730 0.000000 FAILURE 126
111010100  121  136  162  131  263   67   75  249 452.260891 0.000000 FAILURE 127
111010110   78   88  124   87  246   27   17  207 810.058324 0.000000 FAILURE 128
111011000  269  212  172  327  221  140  209  462 312.671064 0.000000 FAILURE 129
111011010  123  145   23  288   46   27  193  401 800.470738 0.000000 FAILURE 130
111011100  196  162   62  333   63   67  353  374 605.969422 0.000000 FAILURE 131
111100000  714  691  652  846  524  799 1048  617 8984.124497 0.000000 FAILURE 132
111100010  123  144  206  104   34  406  225   31 686.039321 0.000000 FAILURE 133
111100100  197  162  351   43  227  478  101   49 738.825061 0.000000 FAILURE 134
111100110  122  145  310    0  272  376   12   36 864.462471 0.000000 FAILURE 135
111101000  303  245  407  144  631  208  192  115 891.344147 0.000000 FAILURE 136
111101010  165  187  222  175  436   37    8  390 726.771733 0.000000 FAILURE 137
111101100  321  244  143  417  253   77  302  582 811.493496 0.000000 FAILURE 138
111101110  266  288   24  577   35   37  656  546 2156.752954 0.000000 FAILURE 139
111110000  524  547  471  656  268  729 1108  269 5820.122677 0.000000 FAILURE 140
111110010  266  288  599    0  385  839   35   14 2789.210571 0.000000 FAILURE 141
111110100  395  320  586  123 1069  132  116  165 3710.211943 0.000000 FAILURE 142
111110110  536  515  104  949  236   37  591 1316 8419.337102 0.000000 FAILURE 143
